,긍정,부정
0,great/JJ,else/RB
1,definitely/RB,arrived/VBD
2,hotel/NN,anything/NN
3,lots/NNS,disappointed/VBN
4,fun/NN,mins/NNS
5,activities/NNS,almost/RB
6,loved/VBD,expectations/NNS
7,try/VB,waste/NN
8,day/NN,minutes/NNS
9,love/VB,bring/VBG
10,amazing/JJ,pretty/JJ
11,fun/JJ,bad/JJ
12,entertainment/NN,dont/VBP
13,subway/NN,mostly/RB
14,roller/NN,found/VBD
15,memorable/JJ,air/NN
16,well/RB,much/RB
17,recommend/VBP,maintained/VBN
18,fun/VBN,included/VBN
19,interesting/JJ,1/CD
20,bring/VB,looking/VBG
21,pm/NN,everland/VBP
22,ticket/NN,entry/NN
23,museum/NN,park/NN
24,like/VB,40/CD
25,balloon/NN,rides/NNS
26,amazing/VBG,interesting/VBG
27,wonderful/JJ,hours/NNS
28,friendly/JJ,average/JJ
29,average/NN,admission/NN
30,enjoyed/VBN,8pm/CD
31,outside/JJ,probably/RB
32,visit/VBP,everland/VB
33,indoor/JJ,didnt/VBP
34,sure/JJ,queue/VB
35,take/VB,everland/NN
36,6/CD,parking/NN
37,blast/NN,week/NN
38,u/JJ,thing/NN
39,coasters/NNS,pay/VB
40,many/JJ,queues/NNS
41,especially/RB,pass/NN
42,first/RB,poor/JJ
43,next/JJ,closed/VBN
44,skating/VBG,money/NN
45,surprisingly/RB,perhaps/RB
46,twice/RB,hour/NN
47,good/JJ,disappointed/JJ
48,reasonable/JJ,would/MD
49,enjoyed/VBD,nothing/NN
