,긍정,리뷰 수,부정,리뷰 수
0,one/CD,62,whether/IN,2
1,walk/NN,209,refurbishment/NN,1
2,stroll/NN,60,lights/NNS,34
3,pictures/NNS,13,worthy/JJ,4
4,always/RB,13,flowers/NNS,4
5,sit/VB,100,getting/VBG,5
6,plaza/NN,6,look/NN,22
7,quiet/JJ,22,ilbo/NN,0
8,palace/NN,7,donga/VB,0
9,fish/NN,39,happen/VBP,8
10,walking/VBG,67,turned/VBD,6
11,spot/NN,24,hectic/JJ,4
12,love/VB,59,special/JJ,26
13,atmosphere/NN,11,ok/JJ,46
14,enjoying/VBG,13,garbage/NN,2
15,air/NN,19,chilly/RB,6
16,cool/JJ,32,didnt/VBP,10
17,gives/VBZ,7,line/NN,7
18,cheonggyecheon/NN,1,smell/NN,9
19,eat/VB,104,valuable/JJ,1
20,evening/NN,42,saying/VBG,2
21,different/JJ,13,mulberry/NN,1
22,colorful/JJ,5,old/JJ,32
23,clear/JJ,13,google/NN,2
24,hustle/NN,13,seen/VBN,8
25,along/IN,104,chill/VB,16
26,light/NN,78,take/VB,54
27,little/JJ,21,lanterns/NNS,16
28,feet/NNS,21,want/VBP,17
29,nature/NN,17,meaning/NN,2
30,cool/NN,32,embraces/VBZ,1
31,hall/NN,5,unless/IN,2
32,fish/JJ,39,ago/RB,7
33,water/NN,96,cooler/NN,1
34,modern/JJ,13,ok/VBP,46
35,beautifully/RB,7,avoid/VB,2
36,worth/JJ,25,relax/VB,73
37,every/DT,15,beneath/NN,3
38,plenty/NN,10,type/NN,3
39,new/JJ,9,maintained/VBN,6
40,level/NN,20,stream/NN,233
41,taking/VBG,16,small/JJ,21
42,check/VB,11,thats/NNS,6
43,full/JJ,20,artificial/JJ,4
44,sitting/VBG,12,dep/NN,3
45,,,going/VBG,15
46,,,nothing/NN,8
47,,,would/MD,24
