,긍정,리뷰 수,부정,리뷰 수
0,must/MD,845,hot/JJ,1012
1,joseon/NN,9,skip/VB,31
2,enjoyed/VBD,257,better/JJR,235
3,miss/VBP,636,favourite/JJ,31
4,days/NNS,260,guess/NN,40
5,need/VB,322,imperial/JJ,32
6,highly/RB,135,replicas/NN,5
7,unique/JJ,86,photographer/NN,15
8,every/DT,523,brochure/NN,24
9,enjoyed/VBN,257,built/NN,270
10,excellent/JJ,87,except/IN,77
11,school/NN,58,parents/NNS,9
12,clothes/NNS,143,unfortunately/JJ,30
13,mustsee/NN,64,feels/NNS,32
14,past/JJ,183,needs/JJ,24
15,stunning/VBG,99,disappointing/VBG,20
16,side/NN,1129,kind/NN,79
17,want/VB,407,soul/NN,12
18,schedule/NN,101,photographs/NNS,22
19,spend/VB,397,disappointed/JJ,47
20,pond/NN,161,nearby/IN,209
21,heritage/NN,54,reflected/VBD,3
22,early/RB,249,overcrowded/VBN,9
23,pavilions/NNS,43,though/NNS,493
24,centre/NN,47,2hrs/CD,7
25,gorgeous/JJ,71,isnt/VB,61
26,tradition/NN,1085,dramaif/NN,0
27,display/NN,68,koreans/VBZ,8
28,fascinating/VBG,48,ruling/NN,5
29,parade/NN,73,empty/JJ,58
30,full/JJ,313,looked/VBD,76
31,fun/NN,236,original/JJ,141
32,guided/JJ,434,studio/NN,4
33,loved/VBD,102,descriptions/NNS,18
34,twice/RB,77,perhaps/RB,19
35,walking/NN,580,dynasty/VBD,140
36,students/NNS,44,shoots/NNS,10
37,cherry/NN,63,need/NN,322
38,colors/NNS,79,okay/JJ,14
39,take/VB,1037,planning/NN,38
40,gates/NNS,92,wears/VBZ,7
41,next/JJ,159,probably/RB,88
42,museum/NN,752,outside/JJ,297
43,forget/NN,108,whim/NN,2
44,,,bored/VBN,22
45,,,average/JJ,13
46,,,unless/IN,37
47,,,however/RB,72
48,,,much/JJ,600
49,,,nothing/NN,88
